id,recency,frequency,monetary,tenure,returns,channel_online
C01393,47,10,1101,35,1,0.11
C01476,16,12,517,48,1,0.09
C00152,38,11,770,74,1,0.07
C01445,59,16,882,66,0,0.12
C02023,50,12,573,41,2,0.09
C00664,16,11,738,44,0,0
C01110,21,11,747,81,0,0.15
C03317,9,1,93,7,0,0.6
C02279,4,14,211,34,2,0.98
C01468,21,14,504,22,1,0.91
C02804,21,11,1053,42,1,0.01
C00159,45,20,104,23,1,0.51
C01341,4,17,209,39,1,0.91
C01501,155,2,2498,53,0,0.28
C03028,153,5,2110,72,0,0.3
C04289,28,5,189,8,0,0.3
C02878,17,16,385,38,3,0.89
C04578,17,16,144,19,1,0.98
C04776,5,14,816,74,0,0.21
C00424,25,15,1272,57,1,0.33
C01778,32,11,339,31,2,1
C00362,29,6,305,41,1,0.94
C05768,0,13,1638,77,2,0
C03369,17,12,1348,94,2,0.23
C03503,196,3,707,56,0,0.25
C02264,199,4,4589,53,0,0.49
C04991,48,3,201,1,0,0.35
C03723,124,3,1643,61,0,0.19
C01883,10,15,833,93,0,0.44
C05969,63,3,150,6,0,0.49
C04855,181,4,2039,39,0,0.34
C02919,29,5,769,81,0,0.13
C01224,11,13,576,45,0,0.1
C02493,118,3,1636,68,0,0.24
C01478,73,4,118,4,0,0.57
C03264,19,8,537,38,2,0
C02369,18,14,328,41,1,0.86
C04139,16,13,475,63,2,0.11
C01075,190,3,1266,36,0,0.4
C03612,46,1,273,5,1,0.44
C00254,47,15,734,61,0,0
C05847,0,11,1155,72,1,0.02
C00584,73,3,129,5,2,0.5
C04505,50,5,286,5,0,0.51
C00714,29,8,720,71,2,0.05
C00112,22,15,182,26,0,0.84
C00927,53,6,520,61,2,0.07
C03204,21,11,931,84,1,0.18
C02817,12,10,487,56,0,0
C04443,21,16,242,23,3,1
C04560,32,12,123,34,4,0.79
C00459,35,11,909,55,0,0.23
C05553,182,5,4598,39,0,0.36
C04036,48,7,454,30,2,1
C04179,6,10,1557,58,1,0.23
C03638,3,12,828,63,1,0.08
C02036,15,14,708,10,3,0.96
C03343,13,23,208,29,0,0.93
C00074,29,4,1665,44,0,0.37
C04162,22,11,695,78,0,0.04
C00032,64,12,830,75,0,0.33
C00092,162,1,2206,48,0,0.43
C01422,147,1,1431,27,0,0.21
C05829,0,15,198,19,0,0.74
C00411,4,8,526,32,1,0.86
C04933,15,11,1130,69,0,0.27
C00791,19,20,106,31,2,0.94
C02391,49,3,548,7,1,0.54
C03790,20,12,769,56,0,0.01
C00775,55,8,779,65,0,0.21
C03174,10,16,924,56,1,0.12
C02514,4,17,204,49,2,0.71
C05700,247,1,1288,50,0,0.55
C00602,54,2,203,4,0,0.57
C00029,41,11,603,81,1,0.23
C01428,279,4,1478,32,0,0.3
C02135,239,5,3025,31,0,0.35
C05740,40,12,326,72,0,0
C03474,17,24,63,44,2,1
C00591,131,4,1292,52,0,0.34
C01023,23,12,479,64,0,0.21
C01919,56,1,107,2,1,0.51
C02405,32,10,703,63,2,0.19
C00209,28,13,387,35,0,0
C05232,30,10,660,91,2,0.26
C03598,20,3,257,1,1,0.61
C04410,19,12,661,75,0,0.18
C00828,268,3,517,40,1,0.39
C05415,225,1,914,42,0,0.22
C02013,32,15,730,65,0,0.25
C02259,22,7,824,65,1,0.18
C01250,41,12,408,70,1,0.17
C01450,24,10,196,31,2,0.89
C04180,5,10,667,53,0,0
C05893,20,1,191,4,0,0.45
C02852,14,11,1765,96,1,0.11
C01737,16,13,2592,67,0,0
C05779,14,11,678,61,0,0.07
C01855,182,2,1103,38,0,0.28
C05303,62,2,223,3,0,0.41
C03632,33,8,857,65,1,0.11
C05791,22,13,693,32,0,0.04
C04761,32,11,642,45,0,0.16
C04532,43,9,353,44,1,0.1
C04800,65,4,206,4,0,0.44
C04252,40,11,1148,73,0,0
C02503,57,11,726,50,0,0
C04964,23,15,327,46,2,0.88
C02988,0,2,91,3,0,0.68
C00895,27,17,170,38,3,0.83
C00882,42,11,588,11,0,0
C00094,1,8,702,51,1,0.12
C00030,57,5,365,1,0,0.32
C01719,42,9,595,26,0,0.07
C04011,11,5,354,103,1,0
C04818,24,15,528,44,0,0.83
C04265,51,1,85,6,0,0.49
C04035,55,13,650,21,2,0.93
C05252,29,13,614,29,2,0.31
C03379,29,10,840,71,0,0.2
C00907,297,4,935,39,0,0.42
C01122,164,2,1861,57,0,0.23
C04702,25,14,797,64,1,0.14
C05398,293,1,1756,36,1,0.34
C01332,34,15,578,53,3,0
C04319,37,4,669,2,0,0.52
C02003,190,2,829,36,0,0.5
C01210,192,2,4646,49,1,0.5
C04071,25,12,816,75,0,0.08
C00016,36,13,1934,59,1,0.02
C02580,230,4,548,64,0,0.23
C03793,42,19,576,50,2,0
C01214,23,16,121,51,4,0.82
C03055,19,3,119,8,1,0.57
C04549,3,3,119,5,1,0.72
C02984,30,16,1015,56,1,0.04
C04750,168,1,1949,34,0,0.39
C00378,231,2,3154,40,1,0.26
C00984,47,11,607,51,0,0
C05460,24,18,635,28,4,0.87
C05054,10,15,285,7,2,0.9
C02089,239,3,2059,23,0,0.4
C04002,47,9,1325,70,1,0.01
C04291,0,3,1861,49,1,0.3
C03346,22,13,135,36,3,0.91
C00894,25,11,208,42,2,0.85
C02457,26,13,514,48,0,0
C03496,33,11,426,30,1,0.76
C00223,238,6,3398,33,1,0.26
C00225,41,10,1101,52,1,0.1
C01512,27,7,717,50,0,0.03
C01274,14,12,560,79,0,0.19
C05939,40,11,1638,80,0,0
C01138,17,3,416,28,1,0.9
C00350,24,13,330,52,1,0.08
C04032,184,3,1632,22,0,0.58
C00121,36,9,806,45,1,0.09
C00560,62,3,220,3,0,0.42
C01566,11,8,479,16,2,0.94
C05811,134,2,2880,62,1,0.2
C01738,12,9,938,56,1,0.09
C01522,48,11,793,79,0,0.11
C01251,6,7,366,61,2,0.05
C04346,191,4,1579,69,1,0.43
C01885,15,12,138,22,1,0.97
C00493,12,11,1100,54,0,0.01
C02173,34,14,114,23,1,0.8
C00490,29,3,155,6,0,0.64
C00766,248,1,918,57,0,0.31
C00293,28,3,483,2,0,0.34
C03916,46,1,124,5,1,0.62
C05888,43,5,64,2,1,0.46
C01465,13,11,339,43,0,0.2
C05493,26,11,663,39,0,0.14
C04384,2,16,245,46,0,0.84
C02096,34,14,1203,59,0,0.21
C03165,220,2,1299,9,1,0.3
C00725,22,13,161,13,1,0.98
C00487,45,13,336,21,0,0.12
C00802,24,7,930,64,2,0.17
C02423,50,4,175,2,1,0.35
C03142,18,5,183,3,0,0.42
C05600,221,3,1508,26,0,0.42
C03094,27,11,560,19,2,0.9
C00368,24,12,670,75,0,0.1
C02881,21,8,567,52,1,0
C03453,285,1,3486,63,0,0.31
C03620,45,1,134,6,0,0.31
C02342,74,1,308,5,0,0.43
C01572,28,1,192,5,0,0.63
C01760,23,11,385,15,0,1
C04312,24,9,555,57,0,0.16
C01415,19,22,125,37,1,0.88
C00622,131,1,1518,69,1,0.25
C01704,25,13,589,75,0,0.12
C04990,15,11,905,57,0,0.06
C01616,17,11,331,31,1,0.18
C00203,99,5,1220,62,1,0.46
C00383,37,11,1117,69,1,0.11
C02276,47,2,220,4,1,0.8
C02808,73,3,233,4,1,0.48
C05904,60,9,575,78,1,0.11
C02860,19,2,116,1,1,0.61
C01595,59,4,283,7,1,0.66
C01762,23,14,398,59,3,0.03
C04143,222,3,3031,19,1,0.35
C03658,29,13,881,94,0,0
C04927,49,3,326,5,0,0.4
C02496,276,3,1931,85,0,0.22
C03734,34,10,1124,83,0,0
C01400,21,11,555,33,0,0.01
C02417,18,17,375,41,1,1
C05926,22,19,719,57,0,0.2
C05213,34,6,574,88,0,0.13
C04886,52,8,545,81,1,0
C00457,38,11,516,66,1,0.13
C00580,249,3,1179,47,2,0.29
C01231,33,10,591,68,0,0
C01681,66,8,487,64,0,0
C04368,33,14,1188,78,0,0.14
C03862,48,4,347,1,0,0.58
C02725,296,4,6280,38,0,0.43
C04974,18,12,1091,60,0,0.1
C02696,29,14,528,70,2,0.09
C00488,53,12,724,71,2,0.21
C01384,26,13,625,41,0,0.14
C02228,21,2,111,1,0,0.52
C05546,290,4,1682,34,1,0.31
C05981,35,11,1012,91,0,0.09
C03662,34,2,298,6,1,0.28
C05000,54,1,116,4,0,0.6
C04607,19,10,959,60,1,0.09
C02469,33,6,824,31,1,0.83
C02306,31,12,880,115,1,0.04
C03297,60,9,527,60,0,0.24
C05741,34,13,1361,64,0,0.09
C00358,39,13,799,78,2,0
C00595,16,11,324,60,1,0.12
C05025,41,3,248,4,2,0.57
C02118,69,3,346,3,0,0.28
C04064,28,10,682,64,0,0.12
C03743,35,13,281,22,2,0.86
C00026,34,2,402,2,0,0.51
C02026,17,18,152,21,1,1
C05548,352,5,1036,22,0,0.19
C01774,20,16,161,17,2,0.98
C05043,39,14,646,42,3,0
C03958,23,11,416,68,1,0.15
C02975,33,16,336,32,1,0.98
C00941,197,4,1297,71,3,0.2
C01679,30,6,943,50,2,0.01
C02178,36,3,298,3,1,0.83
C04598,17,8,640,70,0,0.06
C04054,3,3,275,6,0,0.68
C04606,247,3,1838,42,0,0.49
C03097,38,11,334,25,2,1
C00741,36,11,379,36,3,0.85
C04192,49,11,639,52,0,0.3
C03597,264,3,1243,56,0,0.48
C04571,40,13,395,52,0,0.27
C02506,30,2,189,2,0,0.5
C00341,35,2,126,6,0,0.61
C01366,0,13,1521,51,0,0.22
C05338,39,2,100,4,0,0.35
C04734,42,19,741,89,1,0.26
C04562,50,15,1155,83,0,0
C00573,43,17,345,45,2,0.97
C05214,230,1,495,51,0,0.54
C04720,42,9,1036,28,0,0.18
C03104,27,5,165,5,0,0.64
C03067,219,4,2116,35,0,0.39
C03045,2,13,459,36,0,0
C02687,247,4,990,51,0,0.33
C03261,40,12,594,89,0,0.19
C05250,33,13,634,57,1,0.3
C05315,27,12,185,16,2,1
C05541,15,13,632,53,3,1
C03335,12,15,321,47,1,0.76
C05058,13,13,149,41,0,0.94
C05491,49,11,622,65,0,0.06
C01381,28,9,1262,70,1,0.18
C01353,217,1,2377,45,0,0.33
C04348,11,7,741,53,1,0.02
C04718,15,5,121,5,0,0.45
C05444,56,2,137,3,0,0.59
C04151,47,4,311,2,0,0.69
C01280,31,16,651,58,1,0.21
C05706,55,11,1083,72,1,0.06
C05059,22,4,101,5,0,0.44
C05870,42,7,426,69,0,0.03
C02032,31,9,398,27,1,0.84
C03742,33,4,516,46,1,0.29
C04873,35,10,983,66,0,0.06
C03844,11,11,438,19,1,0.96
C04763,49,8,570,57,0,0
C01215,15,7,628,72,0,0.23
C04096,38,8,928,52,0,0.12
C00793,253,3,1234,34,0,0.39
C04231,41,13,624,78,1,0.06
C03007,25,16,128,38,3,0.89
C04820,30,14,359,34,0,0.95
C04322,23,6,131,5,0,0.44
C02568,48,14,524,58,1,0.03
C05023,111,5,1069,31,0,0.31
C01007,43,9,481,39,1,0.39
C04999,18,16,359,39,1,0.81
C05257,10,11,741,78,0,0.17
C04415,232,3,722,61,0,0.15
C05095,19,7,800,44,0,0.25
C03375,34,13,211,19,0,0.98
C02163,54,13,1180,70,0,0.02
C04525,36,9,663,77,1,0.19
C05361,32,9,475,65,0,0
C05233,35,14,618,73,1,0.23
C00627,231,4,1348,62,0,0.48
C01531,17,14,266,26,2,1
C03655,120,2,1294,32,0,0.39
C04905,68,1,157,6,0,0.61
C01955,50,22,270,45,1,0.79
C02510,33,8,734,29,0,0.06
C01222,301,1,2068,51,0,0.13
C01321,27,13,211,34,4,1
C03619,45,1,230,3,0,0.55
C02201,28,19,239,36,0,0.97
C04426,72,2,4200,25,0,0.36
C00912,23,6,1310,63,0,0.15
C05171,20,11,407,53,0,0.09
C04210,49,2,254,3,0,0.45
C01732,0,14,649,40,2,0.1
C05109,32,13,589,38,0,0.25
C03122,21,16,396,109,0,0
C02454,33,12,1386,65,1,0.26
C00654,26,20,315,34,2,0.81
C03065,20,10,541,35,2,0.18
C00321,41,8,266,23,1,1
C02444,2,10,1363,45,1,0.07
C02106,47,16,390,59,0,0.05
C00689,23,11,609,57,0,0
C03401,175,2,1313,45,0,0.42
C01708,25,15,406,11,1,0.79
C02283,27,12,620,15,1,0.75
C01874,47,1,191,2,1,0.38
C02519,27,16,480,55,1,0.14
C04330,34,5,132,4,0,0.73
C00558,26,11,106,20,2,1
C03155,27,4,137,7,0,0.5
C03176,42,2,204,3,0,0.37
C02538,30,9,1851,105,0,0.23
C04605,0,1,202,2,2,0.82
C01025,29,17,413,42,2,0.9
C05105,25,6,376,56,1,0
C05652,17,9,188,40,0,0.97
C03468,40,3,870,54,0,0.27
C03869,247,4,645,43,0,0.42
C04135,27,3,135,3,0,0.47
C03970,8,15,176,34,3,1
C04306,27,4,108,4,0,0.58
C03904,123,4,1124,42,0,0.49
C00473,8,2,1290,47,0,0.34
C01431,36,11,618,35,0,0.1
C03818,195,3,1391,37,0,0.22
C01933,55,17,156,40,1,0.96
C05743,37,9,669,40,0,0.04
C02909,66,2,79,7,1,0.4
C00765,264,1,1386,30,2,0.33
C05216,35,11,306,43,0,0.15
C01433,15,14,221,21,1,0.83
C02438,30,4,542,1,0,0.49
C02224,12,15,596,41,0,0
C03284,38,15,514,66,0,0.13
C04132,358,2,3441,23,0,0.35
C04321,59,9,598,72,0,0
C04249,13,8,462,57,0,0.39
C01554,28,9,211,24,1,1
C03011,45,12,829,68,1,0
C05974,44,15,494,35,1,0.87
C02370,40,8,635,85,1,0.17
C04055,208,5,1125,30,0,0.38
C00676,30,18,228,31,4,0.86
C04283,10,10,202,56,0,0.98
C02698,36,12,424,29,1,0.06
C01218,229,3,2157,67,0,0.59
C00085,18,4,253,4,0,0.43
C00799,35,14,338,22,1,0.8
C01987,8,18,196,32,0,1
C04209,34,3,241,4,0,0.38
C00665,36,2,94,9,0,0.51
C00494,45,8,1100,70,1,0.03
C00081,264,2,2833,45,0,0.47
C04977,17,9,414,28,0,1
C03651,23,20,412,25,1,0.98
C05081,43,3,167,3,0,0.49
C01934,26,8,178,41,1,0.85
C05346,272,3,1144,37,1,0.4
C02640,27,1,185,2,0,0.44
C03092,53,7,616,79,1,0.11
C01357,7,14,604,60,1,0.27
C03547,19,9,702,65,0,0.14
C00073,42,4,259,5,1,0.6
C04280,21,17,596,56,0,0.4
C03003,219,2,1459,52,0,0.34
C00039,16,12,521,6,4,0.83
C02073,45,4,132,6,0,0.45
C00697,301,4,1137,82,0,0.31
C02932,37,3,115,2,1,0.51
C04187,23,13,949,58,2,0.13
C04747,19,12,261,22,0,0.81
C00266,13,3,113,4,0,0.53
C00013,39,5,100,3,0,0.48
C01273,270,3,1539,63,0,0.46
C01363,56,3,219,4,0,0.68
C04431,140,3,1076,65,0,0.31
C02996,196,2,624,38,0,0.41
C05039,26,13,417,53,0,0
C05199,12,10,557,81,0,0.1
C03585,230,4,4417,27,1,0.18
C04617,55,2,195,2,1,0.62
C03783,36,8,275,68,1,0.11
C01230,159,2,1623,10,1,0.05
C02903,156,4,764,30,1,0.28
C03957,0,12,777,46,1,0.09
C05978,37,4,198,3,1,0.49
C02043,275,3,2210,43,0,0.57
C01427,39,2,147,4,0,0.57
C01617,27,9,962,36,0,0
C01118,61,13,1067,68,0,0.11
C04825,40,7,568,43,1,0.09
C05633,55,4,316,1,0,0.66
C02034,28,14,130,20,1,0.95
C05256,81,3,73,6,0,0.68
C02349,20,6,1058,37,1,0.16
C02426,35,11,786,68,0,0.02
C03368,36,11,1042,25,0,0.25
C05072,20,18,244,37,2,0.96
C05229,53,6,165,5,1,0.57
C03413,23,24,146,23,1,0.91
C05436,23,16,226,55,1,1
C01050,111,4,1731,32,0,0.32
C03027,29,12,361,45,1,0.87
C03460,39,4,248,4,1,0.42
C00728,34,12,334,20,3,1
C03686,182,3,1042,26,0,0.41
C00324,46,5,72,1,0,0.36
C02137,23,4,141,3,0,0.68
C02420,13,10,201,22,3,0.89
C04251,28,9,412,54,1,0
C01055,40,17,488,55,2,0.13
C02896,284,1,922,62,0,0.3
C03402,391,3,3275,38,0,0.15
C01049,266,6,929,57,0,0.42
C01496,37,14,925,60,0,0
C00286,223,4,1448,56,0,0.69
C01710,272,4,1364,63,0,0.58
C00952,36,10,613,85,0,0.09
C03470,46,12,1056,86,0,0.26
C00272,35,12,889,62,0,0.1
C03062,32,12,630,87,1,0.22
C00373,29,10,289,56,1,0.84
C01602,118,4,1919,53,1,0.33
C01666,29,14,112,20,1,0.92
C01372,11,10,1236,57,0,0
C01219,31,3,198,3,0,0.63
C03652,200,3,701,64,0,0.45
C01830,59,3,118,6,1,0.6
C00300,267,1,1868,31,0,0.4
C01535,10,8,1088,73,2,0.03
C03528,25,14,297,36,1,0.72
C05066,10,9,433,69,3,0.25
C05785,30,16,188,15,2,0.78
C01048,18,13,360,24,1,1
C01347,58,14,1226,55,0,0.01
C04871,19,14,164,49,0,1
C03070,2,9,641,52,0,0.22
C03633,36,9,367,72,1,0.02
C01212,22,13,583,32,1,0.23
C00297,26,9,598,39,0,0.16
C04907,228,4,2153,47,1,0.21
C05281,32,20,124,26,2,0.84
C00821,41,15,1071,73,0,0
C03291,41,4,640,22,0,0.1
C05970,33,11,543,38,0,0.31
C05804,23,17,133,8,2,0.81
C03395,188,1,1463,40,2,0.63
C02533,37,16,2416,45,0,0.02
C04831,5,14,856,92,0,0.08
C05686,169,4,4799,51,0,0.24
C03576,8,14,235,24,3,0.81
C04791,30,1,271,5,1,0.46
C04946,185,3,1792,54,2,0.33
C01003,38,12,581,63,3,0
C00197,4,12,494,44,1,0.04
C00652,28,14,812,73,1,0.15
C03085,0,9,471,22,2,0.06
C02019,31,3,110,5,0,0.53
C00526,16,14,330,73,0,0.11
C01234,27,5,738,34,0,0.25
C05428,55,12,741,80,0,0.26
C00892,240,4,1127,49,0,0.31
C01206,257,3,1747,58,0,0.43
C00626,26,14,774,69,0,0.04
C00084,24,16,1706,72,0,0.2
C03575,39,3,251,5,1,0.78
C04752,46,3,266,3,0,0.7
C02765,222,4,2805,28,0,0.25
C03349,64,3,531,6,0,0.54
C02258,20,12,282,43,3,0.87
C05370,209,4,1340,47,0,0.49
C04546,30,14,554,88,0,0.1
C00835,247,4,1329,51,1,0.45
C01351,27,12,1030,74,0,0.12
C05532,242,3,2122,99,0,0.28
C02993,42,12,727,63,0,0.14
C04027,33,10,867,48,1,0.18
C03719,25,8,259,26,1,0.76
C04005,212,3,1418,23,1,0.05
C05625,278,2,1392,50,0,0.24
C04308,42,3,95,5,2,0.64
C05928,187,2,2215,23,0,0.45
C01878,50,2,147,5,0,0.49
C03592,76,4,2259,50,0,0.39
C02516,26,12,823,57,1,0.14
C00856,198,2,1298,49,0,0.35
C01297,301,3,2460,27,1,0.34
C01746,10,4,251,5,1,0.59
C02590,35,6,191,1,0,0.67
C02125,18,10,874,30,0,0.04
C00461,57,12,820,77,0,0.12
C02704,163,5,1710,20,1,0.23
C00185,13,10,1009,41,0,0.16
C03427,5,14,491,76,2,0
C03878,16,13,574,53,1,0.16
C05737,270,5,1048,37,0,0.37
C03087,36,4,93,3,0,0.45
C02946,70,5,227,3,0,0.61
C05796,45,2,90,1,0,0.54
C02592,32,6,636,55,0,0
C04227,24,15,255,50,2,0.94
C03733,76,2,472,5,1,0.65
C04729,23,17,808,15,2,0.15
C00409,15,16,141,31,1,0.95
C03860,19,6,714,52,0,0.1
C00253,44,9,963,39,0,0.03
C01308,21,12,519,48,0,0
C02534,229,1,3502,40,0,0.43
C01254,212,4,2876,6,1,0.31
C03517,20,22,352,29,0,0.9
C01843,0,4,63,6,0,0.62
C02253,7,12,719,77,0,0
C00976,249,3,1256,60,0,0.33
C00995,28,14,723,73,1,0.17
C01111,22,10,864,62,1,0.05
C02987,21,16,1846,65,0,0
C05890,50,11,596,34,1,0.16
C00983,39,2,126,4,1,0.49
C05268,180,4,2685,32,0,0.28
C03991,198,3,1734,40,1,0.64
C01565,0,11,822,106,2,0.04
C03692,220,1,4330,28,0,0.37
C05608,27,9,758,52,1,0.07
C01655,34,18,595,81,1,0
C05682,30,10,554,67,1,0
C01753,41,12,554,87,2,0
C01588,225,3,2509,56,0,0.31
C01861,18,17,871,76,1,0.16
C01242,40,5,210,4,0,0.57
C02486,42,7,135,20,1,0.85
C05500,26,11,995,49,2,0.27
C00303,46,4,150,3,2,0.54
C02207,285,1,1834,44,2,0.31
C05349,28,11,2096,58,1,0.09
C03580,244,5,984,42,1,0.27
C03213,40,14,919,57,0,0
C01860,23,11,545,92,0,0
C02335,162,4,2451,41,0,0.39
