id,tenure_months,monthly_charge,contract,internet,tech_support,online_security,streaming_tv,paperless,payment,senior,partner,dependents,phone_lines,support_calls,late_payments,data_gb,referred,region,churn
T06004,3,93.3,month-to-month,dsl,no,no,yes,yes,bank transfer,1,no,no,1,0,1,78,no,south,no
T04950,56,67.3,month-to-month,dsl,no,yes,yes,no,bank transfer,0,no,no,2,1,0,30,yes,islands,no
T06326,68,49.4,month-to-month,fibre,yes,yes,no,no,card,0,no,no,2,0,0,28,no,north,no
T02766,57,31.1,one-year,fibre,yes,no,yes,no,e-check,0,no,no,2,1,0,97,no,centre,no
T02418,9,27.2,one-year,fibre,no,yes,no,yes,mailed check,0,no,yes,1,1,0,25,no,north,no
T05929,60,29.8,one-year,dsl,no,yes,yes,yes,card,0,no,no,1,2,0,25,no,islands,no
T01594,43,29.1,month-to-month,fibre,yes,yes,yes,no,e-check,0,no,no,2,0,0,56,no,centre,no
T04345,6,20.2,one-year,fibre,yes,no,yes,no,bank transfer,1,no,yes,1,0,1,111,no,centre,no
T03102,4,90,month-to-month,none,no,yes,yes,yes,e-check,0,yes,no,1,0,0,150,no,centre,no
T01092,35,77.3,two-year,none,no,no,no,yes,card,0,yes,yes,0,1,0,98,no,centre,no
T02378,2,72.3,month-to-month,none,no,no,no,no,card,1,no,no,2,1,0,41,no,centre,no
T02615,72,75,one-year,dsl,yes,no,no,yes,bank transfer,0,yes,no,1,1,1,87,yes,south,no
T03829,21,102.8,month-to-month,fibre,no,no,yes,no,bank transfer,0,no,no,2,1,0,76,no,islands,yes
T03331,27,66,month-to-month,dsl,yes,no,yes,yes,e-check,0,yes,yes,0,0,0,63,yes,north,no
T03162,63,69.7,month-to-month,dsl,yes,no,yes,no,e-check,0,no,no,0,1,1,100,no,centre,no
T00196,66,85.6,month-to-month,dsl,no,yes,yes,yes,bank transfer,0,no,yes,1,0,1,116,no,north,yes
T05519,54,95.3,month-to-month,dsl,no,no,yes,yes,bank transfer,1,yes,yes,1,1,0,174,no,north,no
T00802,20,82.4,month-to-month,none,no,no,yes,no,e-check,0,no,no,1,2,0,32,no,islands,yes
T04759,36,84.7,month-to-month,dsl,yes,no,no,yes,card,1,no,yes,2,0,1,72,no,centre,no
T06339,6,86.8,month-to-month,fibre,yes,no,yes,no,e-check,0,yes,yes,3,1,0,39,yes,centre,yes
T03082,1,82.8,month-to-month,none,no,yes,yes,yes,card,0,no,no,1,2,0,22,no,centre,no
T05833,14,87.8,two-year,none,yes,yes,no,yes,e-check,0,yes,no,1,0,0,70,no,south,no
T01702,4,53.9,month-to-month,none,yes,no,yes,no,bank transfer,0,no,no,2,0,1,68,no,centre,no
T00147,93,41.2,two-year,dsl,no,no,yes,no,mailed check,0,yes,no,3,0,0,24,no,north,no
T00641,44,54.2,two-year,fibre,no,yes,yes,no,e-check,0,yes,yes,3,1,0,50,yes,south,no
T05780,44,28.9,month-to-month,dsl,no,no,no,no,card,1,yes,no,2,1,0,122,no,islands,no
T05309,7,96.8,two-year,dsl,no,no,no,no,card,1,no,no,0,2,1,158,no,south,no
T05523,58,110,month-to-month,fibre,no,no,yes,no,bank transfer,0,no,yes,2,1,0,236,no,centre,yes
T01230,113,66.2,month-to-month,dsl,no,no,no,yes,bank transfer,0,yes,no,1,1,1,71,yes,south,no
T00133,23,30.2,month-to-month,none,no,yes,no,yes,e-check,0,no,no,0,1,1,71,no,islands,no
T03834,88,67.2,month-to-month,dsl,no,yes,yes,yes,e-check,0,no,no,1,0,0,63,no,centre,no
T01263,15,106.7,one-year,none,no,no,no,no,card,0,yes,yes,1,1,1,73,no,centre,no
T06126,18,63.4,month-to-month,none,yes,no,no,yes,bank transfer,0,yes,no,2,0,0,117,no,centre,no
T06083,4,86.8,month-to-month,fibre,no,yes,no,no,mailed check,1,yes,no,1,0,0,10,yes,islands,yes
T00364,12,47.5,month-to-month,fibre,yes,yes,no,no,bank transfer,0,no,yes,2,0,1,65,no,south,yes
T02844,52,85.7,one-year,fibre,no,no,yes,no,card,0,no,yes,1,1,1,243,no,islands,no
T00975,2,69.7,two-year,fibre,no,no,no,no,card,0,yes,no,1,0,0,19,yes,south,no
T06499,46,82.7,month-to-month,dsl,yes,no,yes,no,e-check,1,yes,no,1,1,0,55,yes,north,no
T02476,20,70.4,month-to-month,fibre,yes,no,no,no,e-check,0,no,no,1,0,1,67,yes,centre,no
T06900,94,35.7,one-year,fibre,no,no,no,yes,bank transfer,0,yes,no,1,1,1,48,no,south,no
T00778,12,97.6,two-year,fibre,no,no,no,yes,mailed check,0,yes,no,1,2,0,113,no,south,no
T04944,123,99.8,two-year,fibre,no,yes,no,yes,bank transfer,0,yes,yes,1,1,0,55,yes,south,no
T02999,1,53.7,month-to-month,dsl,no,yes,yes,yes,bank transfer,0,no,no,1,0,1,165,no,north,no
T04636,60,97.4,two-year,dsl,yes,no,yes,no,card,0,no,no,2,1,1,60,no,south,no
T06669,13,50.6,two-year,fibre,yes,no,yes,yes,mailed check,1,yes,no,2,0,0,29,no,north,no
T00523,21,45.9,month-to-month,none,no,no,yes,yes,bank transfer,0,no,no,2,0,0,63,no,centre,no
T00705,90,43.2,one-year,none,no,yes,yes,yes,bank transfer,0,yes,yes,1,0,0,74,no,north,no
T01314,123,35.5,one-year,none,no,yes,yes,no,bank transfer,0,yes,no,3,2,0,80,no,south,no
T06763,1,73,month-to-month,dsl,no,no,yes,no,mailed check,0,no,no,2,1,0,188,no,islands,no
T03797,31,91.8,month-to-month,none,no,no,yes,no,bank transfer,0,no,no,1,2,1,164,no,south,yes
T00848,12,72.7,month-to-month,dsl,no,no,yes,no,bank transfer,0,yes,no,1,1,0,107,no,north,yes
T05868,89,30.1,month-to-month,fibre,no,no,yes,yes,card,0,yes,yes,0,0,0,16,no,islands,no
T06688,16,27,one-year,none,yes,yes,yes,no,mailed check,0,no,yes,3,0,0,78,no,islands,no
T02556,40,64.7,month-to-month,dsl,no,no,yes,yes,mailed check,0,no,no,1,0,1,18,yes,north,no
T01019,15,35.9,two-year,dsl,yes,no,no,no,bank transfer,0,yes,no,1,1,0,55,no,islands,no
T02081,61,100,one-year,dsl,yes,no,no,no,mailed check,0,no,no,1,0,0,98,no,islands,no
T04742,21,69.8,two-year,fibre,no,no,no,yes,bank transfer,0,no,yes,2,0,1,18,no,centre,no
T06403,26,24,month-to-month,dsl,no,no,no,yes,mailed check,0,no,no,1,2,0,143,yes,centre,no
T01926,35,58.3,one-year,dsl,yes,no,yes,yes,mailed check,0,no,no,2,1,0,46,no,south,no
T03949,39,65.4,two-year,fibre,yes,no,yes,yes,card,0,yes,no,1,1,2,120,no,north,no
T00466,71,42.6,month-to-month,fibre,yes,yes,yes,yes,bank transfer,0,yes,yes,0,3,1,210,no,centre,no
T06166,6,41.6,month-to-month,none,yes,no,no,yes,e-check,1,no,no,1,0,0,71,yes,centre,yes
T00022,4,67.6,month-to-month,none,yes,no,yes,no,e-check,0,no,no,0,1,1,102,no,north,no
T00651,3,51.7,month-to-month,none,no,no,no,yes,bank transfer,1,yes,no,2,0,0,27,no,centre,no
T03712,7,94.2,two-year,fibre,no,no,yes,no,card,0,yes,no,1,1,0,195,no,islands,no
T00136,37,72.2,month-to-month,fibre,yes,no,yes,no,mailed check,0,no,no,0,2,0,36,no,north,no
T02701,43,99.9,month-to-month,dsl,no,no,no,yes,card,0,yes,yes,1,0,2,47,no,south,yes
T00003,2,82.5,month-to-month,dsl,yes,no,no,yes,mailed check,0,yes,yes,1,3,0,28,no,islands,yes
T05914,1,106.9,two-year,fibre,no,no,no,yes,mailed check,0,yes,yes,1,1,0,65,no,centre,yes
T03018,1,29.8,month-to-month,dsl,no,no,no,no,bank transfer,0,yes,no,2,1,1,125,yes,islands,no
T01488,79,48.5,one-year,fibre,no,no,no,no,bank transfer,0,yes,no,1,1,1,28,no,north,no
T00894,21,28.1,two-year,dsl,no,no,no,no,mailed check,0,no,no,0,1,1,93,no,north,no
T00157,20,62.3,month-to-month,dsl,no,no,yes,yes,e-check,0,yes,no,1,2,0,69,no,islands,yes
T06082,15,30.8,two-year,none,yes,no,yes,no,mailed check,0,yes,yes,0,1,0,75,no,islands,no
T00198,10,50,month-to-month,dsl,no,no,yes,yes,mailed check,0,yes,yes,2,0,0,84,yes,islands,no
T06639,11,79.3,two-year,dsl,no,yes,yes,yes,mailed check,1,no,no,1,0,0,49,yes,islands,no
T06016,35,34.1,one-year,dsl,no,no,no,yes,e-check,0,no,no,2,1,0,57,no,centre,no
T05586,1,79.6,one-year,none,yes,yes,yes,no,e-check,1,no,no,1,0,1,136,no,south,no
T01082,23,20.4,month-to-month,dsl,yes,no,no,yes,card,1,no,no,1,0,0,14,no,centre,no
T06849,30,95.8,one-year,fibre,no,no,yes,yes,bank transfer,0,no,yes,3,2,0,97,no,islands,no
T03203,2,101.7,one-year,fibre,yes,no,yes,yes,bank transfer,0,yes,no,1,2,0,43,no,south,yes
T01065,10,104.8,month-to-month,fibre,no,no,yes,yes,mailed check,0,yes,no,1,1,0,75,no,islands,no
T04459,26,31.8,one-year,none,yes,yes,no,yes,mailed check,0,yes,yes,0,0,1,30,no,islands,no
T02584,9,65.7,month-to-month,fibre,no,yes,yes,yes,bank transfer,0,no,no,0,1,0,69,no,north,no
T06245,55,70,month-to-month,fibre,no,no,no,yes,bank transfer,0,yes,no,1,2,0,29,no,south,yes
T06944,6,61,month-to-month,none,no,no,no,yes,card,0,yes,no,2,0,0,104,no,south,no
T05212,44,68.5,month-to-month,dsl,no,no,no,no,mailed check,0,yes,no,1,0,1,41,no,north,yes
T01862,30,75.6,month-to-month,dsl,no,no,yes,yes,e-check,0,yes,no,0,0,0,17,no,islands,no
T00176,18,21.7,month-to-month,fibre,no,no,yes,yes,mailed check,0,no,yes,1,1,1,119,no,islands,yes
T03338,21,61.7,two-year,fibre,yes,no,no,no,mailed check,0,no,no,2,2,0,58,no,islands,no
T03590,38,90.6,one-year,fibre,yes,no,no,yes,mailed check,0,yes,no,2,2,0,41,no,north,no
T01152,34,56.5,one-year,fibre,no,no,yes,no,mailed check,1,no,no,1,0,0,145,no,centre,no
T02647,41,43.6,month-to-month,fibre,no,no,yes,no,card,0,no,no,1,1,0,52,no,islands,yes
T04924,42,21.2,month-to-month,none,yes,yes,no,yes,bank transfer,0,yes,no,2,0,0,83,no,centre,no
T04434,17,97.1,month-to-month,dsl,no,no,yes,yes,mailed check,0,yes,no,1,1,0,10,no,islands,yes
T01660,1,48.1,one-year,dsl,yes,no,yes,no,bank transfer,0,yes,yes,3,2,0,48,no,south,no
T03497,4,75.8,two-year,fibre,no,yes,no,no,e-check,0,no,no,1,2,1,266,no,centre,no
T04776,25,60.4,month-to-month,fibre,no,no,no,no,e-check,0,yes,no,0,1,0,54,no,centre,no
T00121,6,107.6,month-to-month,fibre,no,no,yes,yes,bank transfer,0,yes,no,2,1,1,92,no,islands,no
T05630,17,86.7,one-year,none,yes,no,no,yes,bank transfer,0,no,no,1,3,0,134,no,islands,no
T02868,3,96.1,month-to-month,fibre,no,no,no,yes,e-check,0,no,yes,0,0,0,165,yes,south,yes
T02370,20,44.9,two-year,fibre,no,no,yes,yes,card,0,yes,no,3,2,0,30,no,islands,no
T02412,11,54.6,month-to-month,none,no,no,yes,yes,bank transfer,0,yes,no,3,0,0,131,no,north,no
T04499,1,55.3,one-year,dsl,yes,no,yes,yes,e-check,1,no,no,1,0,1,47,no,south,no
T01456,1,86,month-to-month,none,no,yes,no,no,e-check,0,yes,no,1,1,0,37,no,south,yes
T02775,14,59.4,one-year,none,yes,no,yes,no,e-check,0,no,no,1,0,0,78,no,north,no
T06478,26,63,two-year,none,no,no,yes,no,card,0,no,no,1,0,0,46,no,north,no
T01540,12,97.7,month-to-month,none,no,no,yes,yes,card,0,no,yes,1,0,1,99,no,centre,yes
T06838,65,46.1,one-year,dsl,no,yes,no,yes,card,0,no,no,2,1,0,137,no,south,no
T00949,9,27.2,one-year,fibre,no,no,no,no,bank transfer,0,no,no,2,0,1,126,no,south,yes
T05634,33,70.5,two-year,fibre,yes,yes,yes,yes,e-check,1,yes,no,3,0,0,131,no,centre,no
T00907,15,51.3,month-to-month,none,yes,no,yes,no,e-check,0,yes,yes,1,1,1,138,no,islands,no
T02147,8,99.1,month-to-month,fibre,no,no,yes,no,e-check,1,no,no,2,0,0,131,no,south,yes
T00263,2,56.2,month-to-month,dsl,no,no,yes,no,mailed check,0,no,no,3,1,0,90,no,centre,no
T04332,26,21.2,month-to-month,fibre,yes,no,yes,yes,e-check,0,no,yes,1,2,1,53,no,south,yes
T04018,1,32.3,one-year,none,no,yes,no,yes,mailed check,0,yes,no,1,2,0,10,no,centre,no
T04576,1,71.1,month-to-month,dsl,no,no,yes,no,card,0,no,yes,1,0,1,128,yes,centre,no
T05446,19,22.8,month-to-month,none,no,no,yes,yes,card,0,yes,no,1,1,0,84,no,north,no
T04749,2,84,month-to-month,dsl,no,no,yes,yes,e-check,1,yes,no,2,1,0,26,no,north,no
T06700,7,75.9,month-to-month,fibre,no,yes,yes,yes,mailed check,0,yes,no,1,0,1,93,yes,centre,yes
T02058,13,60.7,two-year,fibre,yes,no,no,yes,mailed check,0,yes,no,1,0,1,14,no,centre,no
T03274,34,69.1,month-to-month,fibre,yes,no,no,no,card,0,no,yes,1,0,0,172,yes,south,no
T05624,23,53,one-year,dsl,no,no,yes,no,card,0,no,no,1,0,0,98,no,north,no
T01608,77,69.3,month-to-month,fibre,yes,no,no,yes,mailed check,0,yes,no,2,1,0,31,no,south,no
T02860,5,99.9,month-to-month,fibre,yes,yes,no,no,e-check,0,no,yes,1,0,1,50,no,north,no
T01427,2,45.2,two-year,dsl,no,no,yes,no,mailed check,0,yes,no,1,0,0,102,no,centre,yes
T05827,12,92.3,month-to-month,dsl,yes,no,yes,yes,card,0,no,no,1,1,1,97,no,islands,no
T01129,7,72.7,month-to-month,fibre,yes,no,yes,yes,e-check,1,no,no,2,1,2,143,yes,north,yes
T04747,17,61.8,month-to-month,none,no,no,no,yes,mailed check,0,yes,yes,2,0,0,138,yes,south,yes
T00071,1,106.2,one-year,fibre,no,no,no,no,bank transfer,0,no,no,1,0,1,66,no,islands,yes
T01649,14,40.9,month-to-month,none,no,no,no,yes,bank transfer,1,yes,no,1,1,0,67,no,islands,yes
T05503,17,97.9,two-year,fibre,yes,yes,yes,yes,card,0,yes,no,1,1,0,91,no,islands,no
T06440,32,91.9,month-to-month,dsl,yes,yes,no,yes,bank transfer,0,yes,no,1,1,1,111,no,centre,no
T04185,26,59.2,one-year,fibre,no,yes,no,yes,card,0,yes,yes,1,0,1,108,yes,south,yes
T02505,54,93.1,month-to-month,fibre,no,no,no,no,bank transfer,0,no,no,2,0,0,22,no,centre,no
T04758,75,67.2,month-to-month,dsl,no,no,no,yes,e-check,0,no,no,2,1,0,67,no,north,yes
T02127,33,35.6,one-year,fibre,yes,yes,no,no,e-check,0,yes,yes,1,1,1,114,no,centre,no
T02757,3,30.7,one-year,none,no,no,no,yes,mailed check,0,no,no,2,0,0,59,no,north,no
T05961,50,71.9,one-year,fibre,no,no,yes,yes,e-check,1,yes,no,1,1,0,85,yes,north,yes
T06060,72,43.3,month-to-month,none,no,no,no,yes,bank transfer,0,no,no,2,1,0,50,no,islands,no
T02460,11,75.1,one-year,dsl,yes,yes,yes,no,mailed check,0,no,no,0,2,0,37,no,south,no
T02250,64,63.2,month-to-month,dsl,no,yes,no,yes,mailed check,0,yes,no,1,1,0,103,yes,north,no
T05884,28,88.6,one-year,none,yes,no,no,no,e-check,0,no,no,3,1,0,116,yes,centre,yes
T02762,30,77.5,month-to-month,dsl,no,no,no,no,card,0,yes,yes,2,1,0,121,no,south,yes
T01785,35,45.1,month-to-month,dsl,yes,no,yes,no,card,0,yes,no,2,2,0,50,yes,north,no
T03023,3,103.8,one-year,none,no,no,yes,no,card,0,no,yes,2,0,1,177,no,south,no
T00415,39,64.5,two-year,dsl,no,no,yes,yes,card,1,yes,no,2,1,1,62,no,south,no
T00014,13,90.7,month-to-month,dsl,no,no,no,yes,e-check,1,yes,no,1,1,0,90,no,south,yes
T01637,15,100.6,two-year,dsl,no,no,yes,no,bank transfer,0,no,no,2,2,0,103,no,north,no
T04440,5,47.1,one-year,fibre,yes,no,yes,yes,card,0,no,no,1,0,0,45,no,centre,no
T02101,9,108.1,month-to-month,dsl,no,no,no,yes,e-check,0,yes,yes,2,2,0,88,no,islands,yes
T04716,9,43.4,one-year,none,no,no,yes,no,mailed check,1,no,no,2,0,0,79,yes,north,no
T02865,22,57.5,two-year,dsl,no,no,yes,no,mailed check,0,no,yes,1,0,0,173,no,centre,no
T02664,8,51.9,month-to-month,none,no,yes,no,yes,e-check,0,yes,no,1,1,0,56,no,south,no
T04691,25,33,month-to-month,dsl,yes,no,yes,yes,bank transfer,0,no,no,0,1,0,93,yes,islands,no
T02784,43,79.8,month-to-month,fibre,no,no,yes,yes,bank transfer,0,yes,no,1,2,0,174,no,centre,no
T04666,11,59.9,one-year,dsl,no,no,yes,yes,mailed check,0,no,no,1,2,0,98,no,islands,yes
T03481,31,106.3,two-year,fibre,no,no,no,no,card,0,yes,yes,1,1,0,11,yes,centre,no
T04789,24,105.2,one-year,none,no,no,yes,no,mailed check,1,yes,no,1,1,2,44,no,north,yes
T02204,17,39.8,month-to-month,none,no,no,yes,yes,e-check,0,no,no,2,2,0,26,no,centre,yes
T02137,40,85.9,month-to-month,none,yes,yes,yes,no,bank transfer,0,yes,no,3,0,0,21,no,islands,no
T01844,22,78.3,month-to-month,fibre,no,no,yes,yes,mailed check,1,no,no,0,0,1,30,yes,south,no
T00846,40,47.8,two-year,dsl,yes,yes,yes,yes,e-check,0,yes,no,0,1,0,72,no,islands,no
T00090,10,82.1,one-year,fibre,no,no,yes,yes,bank transfer,0,no,yes,1,0,0,157,no,south,no
T02326,1,104.3,month-to-month,dsl,no,no,no,yes,mailed check,0,no,no,2,1,0,22,no,centre,yes
T00868,19,34.2,month-to-month,fibre,no,yes,yes,yes,e-check,0,no,no,1,0,1,4,no,islands,yes
T00900,37,24.8,month-to-month,fibre,yes,yes,yes,no,bank transfer,0,yes,yes,1,2,1,78,no,south,yes
T01715,17,44.9,two-year,fibre,yes,yes,no,yes,e-check,0,no,no,0,1,0,130,no,centre,no
T05202,19,47.7,month-to-month,dsl,yes,no,no,yes,e-check,0,yes,no,1,1,0,80,no,islands,yes
T05550,18,27.6,one-year,fibre,no,yes,no,no,e-check,0,yes,yes,1,2,0,32,no,islands,no
T02393,14,32.4,month-to-month,dsl,yes,yes,no,no,bank transfer,0,yes,no,1,1,0,84,yes,south,no
T04322,20,104.4,one-year,none,no,no,yes,no,mailed check,0,yes,yes,1,2,2,133,no,centre,yes
T06330,6,59,month-to-month,fibre,no,no,yes,yes,bank transfer,0,yes,no,0,0,1,54,no,north,yes
T03088,30,93.2,two-year,fibre,yes,no,no,no,e-check,0,yes,yes,1,1,1,110,no,centre,no
T01869,8,22.8,month-to-month,none,no,no,no,no,bank transfer,0,no,no,1,1,0,31,no,islands,no
